ProductID,SubCategoryID,ProductName
FUR-BO-10001798,Bookcases,Bush Somerset Collection Bookcase
FUR-CH-10000454,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
OFF-LA-10000240,Labels,Self-Adhesive Address Labels for Typewriters by Universal
FUR-TA-10000577,Tables,Bretford CR4500 Series Slim Rectangular Table
OFF-ST-10000760,Storage,Eldon Fold 'N Roll Cart System
FUR-FU-10001487,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
OFF-AR-10002833,Art,Newell 322
TEC-PH-10002275,Phones,Mitel 5320 IP Phone VoIP phone
OFF-BI-10003910,Binders,DXL Angle-View Binders with Locking Rings by Samsill
OFF-AP-10002892,Appliances,Belkin F5C206VTEL 6 Outlet Surge
FUR-TA-10001539,Tables,Chromcraft Rectangular Conference Tables
TEC-PH-10002033,Phones,Konftel 250 Conference phone - Charcoal black
OFF-PA-10002365,Paper,Xerox 1967
OFF-BI-10003656,Binders,Fellowes PB200 Plastic Comb Binding Machine
OFF-AP-10002311,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
OFF-BI-10000756,Binders,Storex DuraTech Recycled Plastic Frosted Binders
OFF-ST-10004186,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
OFF-ST-10000107,Storage,Fellowes Super Stor/Drawer
OFF-AR-10003056,Art,Newell 341
TEC-PH-10001949,Phones,Cisco SPA 501G IP Phone
OFF-BI-10002215,Binders,"Wilson Jones Hanging View Binder, White, 1"""
OFF-AR-10000246,Art,Newell 318
OFF-AP-10001492,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length"
FUR-CH-10002774,Chairs,"Global Deluxe Stacking Chair, Gray"
OFF-BI-10001634,Binders,Wilson Jones Active Use Binders
TEC-AC-10003027,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive
FUR-BO-10004834,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
OFF-BI-10000474,Binders,Avery Recycled Flexi-View Covers for Binding Systems
FUR-FU-10004848,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
OFF-EN-10001509,Envelopes,Poly String Tie Envelopes
OFF-AR-10004042,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
OFF-BI-10001525,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
OFF-AR-10001683,Art,Lumber Crayons
OFF-PA-10000249,Paper,Easy-staple paper
TEC-PH-10004977,Phones,GE 30524EE4
FUR-FU-10003664,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
OFF-EN-10002986,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
FUR-BO-10002545,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
FUR-CH-10004218,Chairs,"Global Fabric Manager's Chair, Dark Gray"
TEC-PH-10000486,Phones,Plantronics HL10 Handset Lifter
TEC-PH-10004093,Phones,Panasonic Kx-TS550
OFF-ST-10003479,Storage,"Eldon Base for stackable storage shelf, platinum"
OFF-ST-10003282,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
TEC-AC-10000171,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
OFF-BI-10003291,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings
OFF-ST-10001713,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
TEC-AC-10002167,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
TEC-PH-10003988,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
OFF-BI-10004410,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
OFF-LA-10002762,Labels,Avery 485
FUR-FU-10001706,Furnishings,Longer-Life Soft White Bulbs
FUR-CH-10003061,Chairs,"Global Leather Task Chair, Black"
OFF-FA-10000304,Fasteners,Advantus Push Pins
TEC-PH-10002447,Phones,AT&T CL83451 4-Handset Telephone
OFF-ST-10000604,Storage,Home/Office Personal File Carts
OFF-PA-10001569,Paper,Xerox 232
FUR-CH-10003968,Chairs,Novimex Turbo Task Chair
OFF-PA-10000587,Paper,"Array Parchment Paper, Assorted Colors"
OFF-BI-10001460,Binders,Plastic Binding Combs
OFF-AR-10001868,Art,Prang Dustless Chalk Sticks
TEC-AC-10004633,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
OFF-BI-10001078,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
OFF-PA-10003892,Paper,Xerox 1943
FUR-FU-10000397,Furnishings,Luxo Economy Swing Arm Lamp
FUR-CH-10001146,Chairs,"Global Value Mid-Back Manager's Chair, Gray"
OFF-AR-10002671,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
TEC-PH-10002726,Phones,netTALK DUO VoIP Telephone Service
OFF-PA-10000482,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
OFF-BI-10004654,Binders,Avery Binding System Hidden Tab Executive Style Index Sets
OFF-PA-10004675,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
FUR-CH-10000513,Chairs,High-Back Leather Manager's Chair
FUR-FU-10003708,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
OFF-ST-10004123,Storage,Safco Industrial Wire Shelving System
OFF-BI-10004182,Binders,Economy Binders
